Escenario,Ruido_termico_dBm,Sensibilidad_dBm,Perdida_maxima_dB,Radio_cobertura_km,Trafico_usuario_Erl,Densidad_trafico_Erl_km2
A,-93.99,-76.99,125.99,0.553,0.1,250.0
B,-93.99,-86.99,135.99,3.412,0.083,666.667
